Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,"If you are going to be absent and cannot deliver a session, what is the minimum notice you must give management?",Single Choice,12 hours,24 hours,48 hours,Same day by phone,B,
2,A member makes a complaint to you after class about the timetable. What do you do?,Single Choice,Discuss it with them and try to resolve it,Tell them to speak to another trainer,Redirect them to info@theevolvedgym.com.au,Note it down and raise it at the next team meeting,C,
3,Who do you call first in a medical emergency?,Single Choice,Peter,Megan,000,The gym phone,C,
4,Where is the fire extinguisher located?,Single Choice,"Near the bag storage area, below the AED",Near the front entrance roller door,Store room,Mounted next to the AED at eye level,A,
5,What is the correct dress code for trainers at The Evolved?,Single Choice,Any athletic wear in The Evolved brand colours,"Black training pants or tights, razorback singlet or polo top",Branded uniform only: no other clothing is permitted,The trainer's choice: professional appearance is all that matters,B,
6,"Timesheets are due by EOD on which day, and via which app?",Single Choice,"Monday, via Trainerize","Tuesday, via Xero Me","Wednesday, via the gym phone","Friday, via email to info@theevolvedgym.com.au",B,
7,When can a trainer film during class?,Single Choice,Any time: it's encouraged,Only to film members for progress photos with their individual permission,Only to post an Instagram story; tag @the_evolved_allfemalegym. Members consent to being filmed upon joining unless they have opted out in writing via email.,Never: no filming is permitted under any circumstances,C,
8,Where do evacuating members and staff assemble?,Single Choice,Inside the gym near the front desk,The stairwell landing,Street level car park,The nearest building entrance,C,
9,Within how many hours must an incident report be submitted?,Single Choice,12 hours,24 hours,48 hours,By end of the following business day,B,
10,"How often must CPR be renewed, and how often must First Aid be renewed?",Single Choice,"CPR every 12 months, First Aid every 12 months","CPR every 12 months, First Aid every 3 years","CPR every 2 years, First Aid every 3 years","CPR every 6 months, First Aid every 2 years",B,
11,A member tells you she can't access her app and asks you to change her class booking. What do you do?,Single Choice,Tell her to call the gym and they'll sort it,Update it for her without asking any questions,"Ask why she can't access the app, troubleshoot the issue with her, then walk her through making the change herself so she knows how to do it next time",Refer her to management,C,
12,A member tells you she has a new health condition and may need to stop training. What is the correct starting point?,Single Choice,Recommend cancellation until she is fully recovered,Recommend a membership hold immediately,"Ask questions, explore what she can still do, and work from a modification-first position",Tell her to seek medical advice before discussing training,C,
