Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,What equipment is used in Hybrid Fitness Racing?,Single Choice,"Dumbbells, kettlebells, resistance bands, and mats","Rowers, assault bikes, ski erg, dumbbells, kettlebells, plyometric boxes, pull-up bars, and cones","Barbells, benches, and cable machines","Mats, Pilates balls, and light dumbbells",B,
2,How early should a trainer arrive for Hybrid Fitness Racing?,Single Choice,5 minutes,10 minutes,10–15 minutes,30 minutes,C,
3,What should be provided to members during this session?,Single Choice,Water bottles and protein bars,Cool towels,Electrolyte sachets,Towels and snacks,B,
4,What is the correct response when stations become overcrowded?,Single Choice,Remove some participants from the class,Ask members to wait longer between turns,Adjust timing or increase the number of stations to balance participants,Shorten the session to avoid congestion,C,
5,What should you do if a cardio machine breaks down mid-session?,Single Choice,Stop the session and send members home,Have alternative exercises ready and substitute the station,Ask members to skip that station,Continue with remaining stations and report after class,B,
6,What is the class capacity for Hybrid Fitness Racing?,Single Choice,10,12,15,20,C,
7,How does Hybrid Fitness Racing differ from Metabolic Burn in terms of structure?,Single Choice,It has no rest breaks: it is continuous effort throughout,It uses a strict interval format identical to Metabolic Burn,"It blurs the interval structure: combining cardio machines, strength stations, and endurance challenges in a format that is not always in clean intervals",It is lower intensity than Metabolic Burn,C,
8,A member attends Hybrid Fitness Racing twice a week and nothing else. Are they meeting their strength KPH?,Single Choice,Yes: they're training at high intensity twice a week,No: ICE classes develop work capacity but do not meet the strength minimum. Educate the member and guide them toward adding strength sessions,It depends on how hard they work in each session,"Yes, if they attend consistently for 12 weeks",B,
9,"Before members arrive, what must you do with all cardio machines?",Single Choice,Wipe them down and arrange them by size,Test them all for functionality and confirm every station is ready,Set resistance levels to a moderate default for all members,Check they are plugged in and leave them for members to self-test,B,
10,"A member goes pale and slows down significantly mid-session, with no signs of injury. What do you do?",Single Choice,Ask them to sit out the rest of the session,"Slow them down immediately, get them water, and offer fast-absorbing carbohydrates such as Powerade",Call 000 as a precaution,Encourage them to keep moving at a lower intensity,B,
11,Why is the pre-class brief especially important for Hybrid Fitness Racing compared to other class types?,Single Choice,Because it is higher intensity and members need mental preparation,Because the equipment list is longer and takes more time to explain,"Because members need to understand the layout, each station, and the format before the clock starts",Because it is the only class where safety protocols differ from standard procedures,C,
