Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,When is the first monthly check-in call made?,Single Choice,2 weeks after joining,1 month after joining,At the end of the first class,After their first progress photo,B,
2,What are the best times to call a member for a check-in?,Single Choice,"9–10am, 1–2pm, 6–7pm","7–8am, 12–1pm, 5–6pm",Any time during business hours,Morning only: before 9am,B,
3,A member says they're doing fine and don't need extra help. What do you do?,Single Choice,Remove them from the check-in list: they don't need support,"Note it, stay warm, and follow up again next month",Escalate to management as a potential churn risk,Ask again next week in case they change their mind,B,
4,What is the correct subject line for a red flag email?,Single Choice,URGENT: [Member Name],FOLLOW UP: [Member Name],RED FLAG: [Member Name],CONCERN: [Member Name],C,
5,A member expresses an intention to cancel during your check-in call. What do you do?,Single Choice,Try to convince them to stay by offering a deal,Ask them why and handle the objection yourself,Email info@theevolvedgym.com.au with subject RED FLAG: [Member Name] and full details,Tell them to contact the gym directly,C,
6,When must the first debit date be set for a member who upgrades to PT?,Single Choice,On the date of their first session,Within 7 days of their first session,Before their first session,At the end of the first month,C,
7,How often should a formal re-assessment be conducted with a member?,Single Choice,Every month: combined with the check-in call,Every 3 months,Every 6 months,Once only: at the initial Strength Assessment,C,
8,What is the maximum possible Future-Proofing Score?,Single Choice,12,15,18,24,C,
9,"If a member doesn't answer after 3 call attempts, what should you do?",Single Choice,Stop calling: they will reach out when ready,Email management to flag the situation,Send a specific check-in text message,Try again the following week,C,
10,How many exercises make up the Future-Proofing Score?,Single Choice,4,5,6,8,C,
11,"In the Future-Proofing Score, what does a score of 0–5 indicate?",Single Choice,A member is tracking toward Long in most areas,A member has achieved Live across most standards,A significant capability gap,A member is performing at the Long standard in at least 3 areas,C,
12,A member mentions during a check-in that she has been dealing with a knee injury and is unsure whether she should keep training. What is the correct first response?,Single Choice,Escalate to management immediately as a red flag,Suggest she takes a membership hold until she recovers,Explore what she can still do and offer an Injury Triage Session to design a modified program,Advise her to rest and return when her GP clears her,C,
