category,metric,value,unit,recommended_wording,claim_status,caveat
Cohort scope,Confirmed-female accounts,529,accounts,The accessible Trainerize account contains 529 accounts explicitly recorded as female.,Marketing-ready with scope stated,"Another 44 non-test accounts are male, other or have no sex recorded and are excluded from women's outcome analysis."
Training activity,Tracked completed workouts,25186,workouts,"Women have completed more than 25,000 tracked workouts in the accessible Trainerize history.",Marketing-ready with date range,"Confirmed-female accounts only; accessible history runs from 2023-09-11 to 2026-07-21. All-account operational total is 26,304."
Training activity,All-account tracked programmed workouts,26304,workouts,"The accessible Trainerize account contains 26,304 tracked programmed workouts across all non-test client profiles.",Internal evidence pending demographic verification,"Includes 44 profiles not currently recorded as female: 34 have no sex value, 7 are recorded male and 3 are recorded other. The business owner reports these are onboarding classifications requiring review; do not describe the total as women's data until verified."
Training activity,Distinct participant workout days,24227,participant-days,"The dataset contains 24,227 distinct days on which a woman completed at least one tracked workout.",Internal evidence,Two workouts completed by one participant on the same date count as one participant-day.
Training activity,Women with at least one tracked workout,484,participants,The accessible history includes completed training for 484 women.,Marketing-ready with scope stated,Counts accounts explicitly recorded as female and excludes test accounts.
Training records,Detailed workouts recovered,22764,detailed workouts,"The audit recovered more than 22,000 detailed workout records for women.",Marketing-ready as a dataset-scale claim,Detailed API coverage is incomplete for former members; do not call this the total number of workouts completed.
Training records,Exercise-result records,539694,result rows,"The women's audit contains more than 500,000 recorded exercise results.",Marketing-ready as a dataset-scale claim,"A result row is not always equivalent to one completed set; use 'recorded exercise results', not 'sets'."
Training consistency,Median tracked workouts per woman,22.0,workouts,Use internally to describe the distribution; milestone counts are clearer for public marketing.,Internal evidence,"Median is among women with at least one tracked workout, not every account or member ever sold."
Training tenure,Women with at least 6 months between first and last tracked workout,171,participants,"Use as evidence of longitudinal depth, not as a retention rate.",Internal evidence,A calendar span does not prove uninterrupted membership or regular weekly attendance.
Training tenure,Women with at least 12 months between first and last tracked workout,87,participants,"Use as evidence of longitudinal depth, not as a retention rate.",Internal evidence,A calendar span does not prove uninterrupted membership or regular weekly attendance.
Training tenure,Women with at least 24 months between first and last tracked workout,19,participants,Use as evidence that the database contains multi-year histories.,Internal evidence,A calendar span does not prove uninterrupted membership or regular weekly attendance.
Outcome screening,Unique remarkable-result screening candidates,118,participants,Internal story-development pipeline only.,Requires coach validation and member consent,"Candidates are algorithmic screening flags, not verified transformations or causal claims."
Outcome screening,Women with material improvement in at least 3 canonical movements,45,participants,Internal evidence for case review; validate each exercise history before publishing.,Requires validation and consent,Material means at least 20% and 5 kg improvement in comparable estimated strength scores.
Standards screening,Women advancing at least 2 mapped relative-strength standards,8,participants,Internal candidate list for standards-based success stories.,Requires validation and consent,Requires nearby bodyweight and is unavailable for many follow-up results.
Movement progression,Women with clean observed Goblet-to-Nexus progression,22,participants,Internal evidence that the observed squat history began with Goblet Squat and later reached Nexus Point Squat.,Requires coach validation before public use,"Counts an exercise-stage transition, not a directly comparable kilogram improvement; accessible history may still omit older training."
Movement progression,Women with any observed Goblet-then-Nexus sequence,149,participants,"Use as a programming-pattern signal, not as a progression result.",Internal evidence,Some women had a higher-stage squat recorded before Goblet because accessible history begins mid-journey or programming cycles revisit earlier movements.
