Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,What is the Live standard for the Grip Endurance Test?,Single Choice,50% of bodyweight for 60 seconds,75% of bodyweight for 60 seconds,100% of bodyweight for 30 seconds,60% of bodyweight for 90 seconds,B,
2,What is the Live standard for the Spinal Control Test?,Single Choice,Plank: 1 minute on forearms,Plank: 90 seconds on hands and toes,Plank: 2 minutes on hands and toes,Plank: 2 minutes on forearms,C,
3,When should you offer advice or coaching during the consultation?,Single Choice,When the client asks for it,When you identify a clear gap in their knowledge,Never: the consultation is information gathering only,After completing the first 4 questions,C,
4,What is the exact close question?,Single Choice,"""Would you like to sign up today?""","""Is there anything on the screen that jumps out as something you can do: something you'd like to do?""","""Which package suits your budget?""","""Are you ready to get started?""",B,
5,What do you do immediately after asking the close question?,Single Choice,Explain the packages in detail,Ask if they have any questions,Sit in silence and wait for them to speak first,Offer a discount if they sign today,C,
6,What creates the Trainerize account used for the Strength Assessment?,Single Choice,"The trainer purchases the Initial Consultation Trainerize product for the prospect, then completes setup on the Sales iPad",The prospect is created only after a membership sale,Admin creates a Basic account after the physical assessment,The trainer creates a second account during the close,A,
7,When may the physical assessment begin?,Single Choice,Once the prospect verbally says they feel well,"Once the PAR-Q is complete, reviewed, and any Yes answer has been clarified or cleared as required",As soon as Trainerize is open,"After the consultation, even if the PAR-Q is incomplete",B,
8,What is the correct post-session attendance action when an assessment was delivered by an approved cover coach?,Single Choice,Leave the appointment Confirmed and edit Appointments column K,"Set the exact GHL appointment to Showed, submit SA: Coach Consultation Feedback, and record the coach who actually delivered it",Mark No show until Admin Eve confirms the coach,Select the appointment owner even when someone else delivered it,B,
9,What is the primary purpose of the Long standard?,Single Choice,To prepare members for strength sport competitions,To delay or prevent physical decline and build independence that lasts through later life,To replace the Live standard once a member has been training for 12 months,To set a target for members who want to lose weight faster,B,
10,What should a trainer do after a prospect safely attains Live during the initial Strength Assessment?,Single Choice,Stop testing because the assessment is complete,"After adequate recovery, progressively test Long and Perform while technique and safety remain acceptable",Record Live and estimate the higher levels,Test Perform immediately without confirming Long,B,
11,What is the Live standard for the Single-Leg Capacity Test?,Single Choice,5 reps each side at bodyweight,"10 reps each side at full depth (ATG), no additional load",10 reps each side with 50% bodyweight,20 reps each side bodyweight,B,
12,What is the correct post-sale Trainerize action after a Strength Assessment prospect becomes a member?,Single Choice,Create a new client and send a second invitation,Leave the setup for Admin to complete later,Reuse the assessment account and complete the package-specific onboarding before the member leaves,Change every member to Basic access,C,
13,When should a trainer reopen injury questioning that was already completed during pre-qualification?,Single Choice,At the start of every assessment,Whenever a different team member completed the pre-qualification,Only when the PAR-Q or a current safety concern requires clarification,"Never, even when new safety information appears",C,
