Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,What is the duration of the main HIIT workout section (excluding warm-up and cool-down)?,Single Choice,10–15 minutes,20–30 minutes,30–40 minutes,40–50 minutes,B,
2,What is the class capacity for Metabolic Burn?,Single Choice,10,12,15,20,C,
3,What is a unique environmental setup requirement for Metabolic Burn (compared to other classes)?,Single Choice,Leave main lights off and use festoon lights,Turn on party lights and set them to beat with the music,Use blue lighting only,No specific lighting requirement,B,
4,A member shows signs of dizziness during a high-intensity interval. What do you do?,Single Choice,Encourage them to push through: it's normal,"Offer water or glucose, allow a brief recovery, monitor closely",Ask them to leave the class for safety,Call 000 immediately,B,
5,"If no clients show for a session and you want to be paid, what must you do?",Single Choice,Leave after 10 minutes: no clients means no obligation,Stay on premises and complete approved alternative activities,Call management and wait for their instruction,Use the time for your own personal training,B,
6,What equipment is required for Metabolic Burn?,Single Choice,"Barbells, benches, and dumbbells","Rowers, ski erg, and assault bikes","Kettlebells, dumbbells, resistance bands, and mats","Plyometric boxes, pull-up bars, and cones",C,
7,Does attending Metabolic Burn count toward a member meeting their strength KPH?,Single Choice,Yes: all Evolved classes contribute to KPH,"Yes, if the member attends at least 2 sessions per week","No: Metabolic Burn is an ICE class, not a strength session. It is complementary to strength training, not a substitute",It depends on how hard the member works,C,
8,A member tells you Metabolic Burn is the only class she attends each week. What do you do?,Single Choice,That's fine: she's staying active,"Educate her that ICE classes develop work capacity but don't meet the strength minimum, and encourage her to add strength sessions",Refer her to management,Reduce her intensity so she can recover for next class,B,
9,What RPE level does the ICE framework require throughout a Metabolic Burn session?,Single Choice,RPE 5 or higher,RPE 6 or higher,RPE 7 or higher,RPE 9 or higher,C,
10,What is the work-to-rest ratio for a Metabolic Burn session?,Single Choice,1:3 to 1:4,1:2 to 1:3,1:1 to 1:1.5,2:1,C,
11,"By design, should members fully recover before the next work set begins?",Single Choice,Yes: full recovery ensures maximum effort in each set,No: incomplete recovery between sets is part of the ICE design,"Yes, if the member feels they need it",Only in the first half of the session,B,
