Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,What is the target rep range for strength training sessions?,Single Choice,3–5 RM,6–12 RM,12–15 RM,15–20 RM,B,
2,What intensity should clients be working at?,Single Choice,50–60% of 1RM,60–70% of 1RM,70–85% of 1RM,85–95% of 1RM,C,
3,What is the volume target per strength training session?,Single Choice,3–5 sets,4–6 sets,6–8 sets,10–12 sets,C,
4,How many foundational movement patterns must be covered at least once per week?,Single Choice,4,5,6,7,C,
5,Which of the following is NOT one of the 6 foundational movement patterns?,Single Choice,Hinge,Carry,Rotation,Lunge,C,
6,Approximately how much muscle mass do women lose per decade without adequate training?,Single Choice,1–2%,3–8%,10–15%,20%+,B,
7,Which of The Evolved's Eight Physical Assets of Longevity is described as one of the strongest predictors of cardiovascular mortality in large-scale research: stronger even than systolic blood pressure?,Single Choice,Strength,Work Capacity,Bone Density,Grip Strength & Carrying Capacity,D,
8,A client asks to skip weights and do cardio instead. What is the correct response?,Single Choice,Agree: client preference comes first,Do half cardio and half strength as a compromise,"Acknowledge their preference, educate them on why strength is the most effective path to their goal, and hold the standard",Refer them to another gym that offers cardio classes,C,
9,A Fast Track member has completed all 3 of her Sculpt & Strength sessions this week. You decide to run a custom workout of the day for her PT session targeting a standard she is lagging on. What is required before that session takes place?,Single Choice,Management sign-off on the workout plan,The workout built at least 24 hours in advance and recorded in her Trainerize account,The member's approval of the focus area in the previous session,A Sculpt & Strength workout used as the base with modifications added,B,
10,A Fast Track member has not attended any Sculpt & Strength sessions this week and arrives for their PT session. What do you use?,Single Choice,Their regular 1:1 periodised program,A cardio-based recovery session,A Sculpt & Strength workout from Trainerize (Kettlebell icon),Skip the session and reschedule,C,
11,What does the E in PRIME stand for?,Single Choice,Encourage the member through each set,"Evaluate & Evolve: assess performance, then decide whether to consolidate, regress, or progress",Evolve: increase the load after every completed set,Educate on movement pattern theory,B,
12,What is the primary purpose of the PRIME framework?,Single Choice,To give trainers a set of scripted verbal cues for each exercise,To ensure every coaching decision follows a consistent process regardless of which coach is on the floor,To replace the Strength Assessment for new members,To track member attendance in Trainerize,B,
