Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,A client on Fast Track (SGPT + PT) missed 2 of their 3 Sculpt & Strength sessions this week. What program do you use for their 1:1 session?,Single Choice,The 1:1 Periodised Program,A custom program you've designed,A Sculpt & Strength workout from their Trainerize program,A cardio-focused session since they've had enough strength work,C,
2,A client asks to do HIIT for their session instead of strength training. What do you do?,Single Choice,Deliver the HIIT session: the client knows what they want,Refuse and stick to the strength program,Adapt the session only after educating the client on the strength training principles and their importance,Contact management for approval first,C,
3,How far in advance must a minimum training program be periodised for 1:1 clients?,Single Choice,4 weeks,8 weeks,12 weeks,16 weeks,C,
4,A client cancels 3 hours before their session. What happens?,Single Choice,They receive a make-up session,The session is forfeited with no credit,It is treated as a no-show: no make-up or credit,The trainer decides case by case,C,
5,Where must all PT sessions be recorded?,Single Choice,In a paper session log,"In Trainerize, at the time of completion",In the GHL contact record,In PT Minder,B,
6,"If a trainer needs to cancel a session, what is the correct procedure?",Single Choice,Text the client directly and arrange a new time,Email info@theevolvedgym.com.au then text Megan on 0402 840 247 to confirm receipt,Call the gym phone and speak to whoever answers,Post in the team group chat,B,
7,A postpartum member reports leaking during heavy deadlifts. What is the correct response?,Single Choice,Reduce the weight until symptoms stop,"Cue ""blow as you go"", exhale on the exertion phase, document in Trainerize and refer to a women's health physio",Remove deadlifts from her program entirely,Tell her it's normal and continue as programmed,B,
8,What does bracing before a lift create that protects the spine?,Single Choice,Thoracic extension,Intra-abdominal pressure,Posterior pelvic tilt,Glute activation,B,
9,"In a 1:1 PT session, after delivering a PRIME cue, what do you do next?",Single Choice,Move to the next exercise,Wait until the set is finished before cueing again,"Observe the next rep, assess again, and repeat the correction process",Ask the client if the cue helped,C,
10,A new PT client arrives for their first session. When should you explain the periodisation phases?,Single Choice,"After week 4, once they've experienced the Accumulation phase",In the first session: before the program begins,Only if the client asks about it,At the start of each new phase,B,
11,"The Evolved 1:1 Periodised Program is pre-built in Trainerize. How many versions exist, and what do they differ by?",Single Choice,2 versions: one for beginners and one for advanced members,"3 versions: designed for 1, 2, or 3 PT sessions per week",4 versions: based on the member's strength assessment result,6 versions: one for each life stage,B,
12,How much minimum notice must a client give before cancelling a PT session to avoid losing the session?,Single Choice,12 hours,24 hours,48 hours,72 hours,B,
