Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,How many Intro Sessions do Fast Track members complete?,Single Choice,1,2,3,4,D,
2,Which onboarding allocation is correct across the three memberships?,Single Choice,"Fit & Flexible 0; Strong, Fit & Flexible Membership 1; Fast Track 4","Fit & Flexible 1; Strong, Fit & Flexible Membership 1; Fast Track 4","Fit & Flexible 0; Strong, Fit & Flexible Membership 4; Fast Track 4",All memberships receive 1 onboarding session,A,
3,Which app must be set up in Session 1?,Single Choice,MyFitnessPal,Trainerize,Trainerize and GHL,Google Fit,B,
4,"In Session 1, a client completes 10 Goblet Squats with great form but hasn't reached 7 RPE with a load above 10kg. What do you do?",Single Choice,Stay on Goblet Squat and add more weight,Move to the Nexus Point Squat,Move to the next movement pattern,End the squat assessment,B,
5,"In Session 2, how many total working sets does the client complete?",Single Choice,1,3,6,9,B,
6,"A Strong, Fit & Flexible Membership member has just completed her onboarding session. When should you first raise the idea of continuing with 1:1 PT?",Single Choice,End of Session 1: immediately after the assessment,Session 2: once they know you,Session 3: after checking in on goals,Session 4: final session only,A,
7,A new member says her biggest issue is lack of energy: she sleeps late and eats poorly. Which 2 Level 1 Habits do you assign first?,Single Choice,Eat a High-Protein Dessert Before Bed + Do the Bedroom Makeover,Place a Buffer Before Bed + the appropriate Fall Asleep Before habit based on her current bedtime,Eat From Our Cookbook + Replace High-Energy Liquids,Your Repair Ritual + Place a Buffer Before Bed,B,
8,What is the follow-up process if a member does not continue PT after Session 4?,Single Choice,No follow-up needed: they're in group classes now,Monthly check-in process,Quarterly check-in via email,Refer them to management,B,
9,"During Session 1, whose responsibility is it to book a new member's upcoming SGPT sessions?",Single Choice,The member's: they know their own schedule best,The trainer's: booking sessions is part of the accountability service. Physically book them in right there and then,Management's: all scheduling goes through the gym,"Shared: trainer suggests times, member confirms in the app",B,
10,"At the start of Sessions 2, 3, and 4, what should a trainer review before moving into the workout?",Single Choice,The member's goals from Session 1,"KPH accountability: sessions completed, targets hit, what got in the way, and how to make it next week",The member's injury history and any new concerns,Progressive overload targets from the previous session,B,
11,"During the Session 1 movement assessment, what is the rule about how hard to push each exercise?",Single Choice,Push to failure on each pattern to establish a true 1RM baseline,Work up to RPE 7: avoid failure,Keep everything at RPE 5 to ensure safety with a new member,Complete exactly 10 reps at a fixed starting weight for every exercise,B,
12,How many working sets per exercise does the client complete in Sessions 3 and 4?,Single Choice,1 working set per exercise (3 total),2 working sets per exercise (6 total),3 working sets per exercise (9 total),It depends on how Session 2 went,B,
13,Which measurement set and recording standard is correct for Session 1?,Single Choice,"Shoulders, right bicep, waist, hips, right quad and right calf, recorded in centimetres to the nearest 0.5 cm","Chest, both biceps, waist, hips and both calves, recorded to the nearest centimetre","Shoulders, waist and hips only, recorded in whatever unit the client prefers",Weight and body-fat percentage only,A,
14,How do you locate the right bicep and right quad measurement sites?,Single Choice,Measure both at their visually thickest point,"Use the midpoint from the acromion to the elbow for the bicep, and the midpoint from the front bony point of the iliac crest to the middle of the knee for the quad",Measure one hand-width below the shoulder and hip,Ask the member where she was measured previously,B,
15,Which consent and progress-photo process is correct?,Single Choice,"Gain permission once, take photos inside Trainerize and reuse them for marketing","Ask before every measurement and separately before photos; accept a no, use fitted training clothes, take front, side and rear photos with the phone camera, upload them to Trainerize and never share them without explicit permission",Photos are compulsory if the member wants progress tracking,Take only front and rear photos because side photos are too personal,B,
16,What is the correct hinge sequence and the special Barbell Romanian Deadlift progression gate?,Single Choice,"Broomstick Hinge → Dumbbell Romanian Deadlift → Barbell Romanian Deadlift → Trap Bar Deadlift → Barbell Deadlift; before progressing beyond the Barbell Romanian Deadlift, complete 12 reps at 35 kg with a one-second hold just below mid-knee on every rep while maintaining a PRIME postural position",Broomstick Hinge → Trap Bar Deadlift → Barbell Deadlift; advance whenever the client completes 10 reps,Dumbbell Deadlift → Barbell Deadlift → Trap Bar Deadlift; advance when the prescribed load threshold is reached,Begin with whichever deadlift the client prefers and regress only if she reaches failure,A,
