participant_id,account_status,first_mapped_squat_date,first_mapped_stage,first_mapped_stage_label,last_mapped_squat_date,first_goblet_date,first_nexus_after_goblet_date,days_goblet_to_nexus,observed_goblet_then_nexus_sequence,prior_higher_stage_before_goblet,clean_goblet_to_nexus_progression,highest_stage_observed,highest_stage_label,interpretation
WSP-CADACEC125,deactivated,2023-09-11,2,Nexus Point Squat,2024-12-20,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-35D2B825E2,active,2023-09-11,2,Nexus Point Squat,2026-07-20,2024-11-08,2025-01-06,59,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E60F02FB3D,deactivated,2024-05-24,2,Nexus Point Squat,2025-01-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9E8022E796,deactivated,2023-09-11,2,Nexus Point Squat,2024-03-25,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3747400FEE,active,2023-09-11,2,Nexus Point Squat,2026-07-20,2024-11-15,2025-01-06,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-749D8C9097,deactivated,2023-09-11,2,Nexus Point Squat,2024-12-27,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1C27F23078,deactivated,2023-09-11,2,Nexus Point Squat,2025-01-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2B27FEB68C,deactivated,2023-09-11,2,Nexus Point Squat,2024-11-15,2024-01-09,2024-01-29,20,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-175A5AF798,deactivated,2023-09-11,2,Nexus Point Squat,2025-06-23,2024-09-06,2025-01-06,122,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C01103FA99,deactivated,2023-09-11,2,Nexus Point Squat,2024-12-13,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-690A6927EC,deactivated,2023-09-11,2,Nexus Point Squat,2024-09-27,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
