exercise_name,record_type,exercise_type,result_rows,participants,workouts,first_seen,last_seen
Barbell Bench Press,strength,system,11372,258,4892,2023-09-11,2026-07-18
Acclimation Set,general,custom,33730,257,17268,2023-09-11,2026-07-21
Performance Warm Up,general,custom,17340,257,17340,2023-09-11,2026-07-21
High Plank,timedLongerBetter,system,4111,253,2096,2023-09-11,2026-07-21
Static Hip Flexor Stretch,general,system,8574,250,5745,2023-10-09,2026-07-21
Nexus Point Squat,strength,custom,5196,248,2312,2023-09-11,2026-07-20
Bird Dog,endurance,system,8440,246,3902,2023-09-11,2026-07-21
Deep Squat Hip Swivel,general,custom,6309,238,2979,2023-10-09,2026-07-21
Hanging Leg Raise,endurance,system,8516,235,4149,2023-09-15,2026-07-21
Barbell Deadlift,strength,system,6893,234,3011,2023-09-11,2026-07-15
Superband Scapular Depression,endurance,custom,5115,233,3247,2023-10-13,2026-07-21
Barbell Romanian Deadlift,strength,system,7032,228,3283,2023-10-20,2026-07-21
Scapula Push Up,strength,custom,6260,228,3005,2024-02-01,2026-07-21
Farmer Walk,strength,system,4526,226,1957,2023-10-10,2026-07-20
90-90 Supine Breathing,general,custom,4373,220,4253,2023-09-16,2026-07-21
Dumbbell Bench Press,strength,system,3061,220,1586,2024-01-31,2026-07-21
Dumbbell Incline Bench Row,strength,system,3629,219,1668,2023-09-22,2026-07-16
Band Assisted Chin Up,strength,system,6299,217,3269,2023-10-13,2026-07-21
Dumbbell Lateral Raise,strength,system,6220,212,2628,2023-12-08,2026-07-20
Kettlebell Goblet Squat,strength,system,1759,207,790,2023-11-13,2026-07-21
Barbell Split Squat,strength,custom,3316,204,1602,2024-01-01,2026-07-21
Dumbbell Standing Shoulder Press,strength,system,4408,201,2073,2023-12-06,2026-07-18
Hollow Body Hold,timedLongerBetter,system,2901,194,1282,2023-09-13,2026-07-15
Glute Bridge,endurance,system,1025,192,727,2023-12-12,2026-07-20
Body Weight Squat,endurance,system,1476,191,809,2024-06-27,2026-07-21
Dumbbell Alternating Bicep Curl,strength,system,2469,190,1154,2023-12-06,2026-07-21
Dumbbell 21,strength,system,1944,187,962,2024-05-27,2026-07-20
ATG Split Squat,strength,custom,5748,186,2519,2023-09-12,2026-07-20
SuperBand Face Pulls,endurance,system,6819,184,2777,2023-10-11,2026-07-20
Lock Clam,strength,custom,5523,184,2263,2023-09-11,2026-06-23
Elbow Side Plank,timedLongerBetter,system,6620,183,2829,2023-12-08,2026-07-20
Dumbbell Renegade Row,strength,system,4168,182,1347,2023-09-15,2026-07-16
Broomstick Hinge,strength,custom,746,180,473,2024-06-27,2026-07-17
Lying Prone W.Y.T Pump,strength,custom,3814,179,1846,2024-10-02,2026-07-21
Dumbbell Single Arm Row,strength,system,2298,179,1099,2023-11-08,2026-07-21
Barbell Bent Over Row,strength,system,2540,178,1163,2024-02-28,2026-07-15
Underhand Grip Lat Pulldown,strength,system,3189,177,1529,2023-12-04,2026-07-21
Single Leg Glute Bridge,endurance,system,2597,176,1166,2023-09-11,2026-07-21
Barbell Hip Thrust,strength,system,3631,175,1679,2023-10-14,2026-07-18
Suspension Chest Stretch,general,system,3574,174,1896,2025-01-01,2026-07-21
Foam Roller Thoracic Extension,general,custom,2265,173,1061,2024-10-02,2026-07-16
Bench Lat Stretch,general,custom,3627,172,1836,2024-02-29,2026-07-21
Stability Ball Hamstring Curl with Glute Bridge,endurance,system,2625,171,1098,2023-11-06,2026-07-20
Barbell Front Squat,strength,system,4292,168,2021,2024-11-15,2026-07-21
Bar Hang,timedLongerBetter,system,2238,162,1167,2023-12-20,2026-07-18
Bodyweight Box Squat,strength,custom,449,162,315,2024-03-25,2026-07-17
Push Up,endurance,system,2471,161,1202,2023-10-14,2026-07-18
90/90 Hip Int/Ext Rotation,strength,custom,2034,161,1004,2024-04-04,2026-07-21
Chin Up,strength,system,1684,160,820,2024-01-29,2026-07-21
Single Arm Bench Press,strength,custom,2071,156,995,2023-10-11,2026-06-17
Loaded Butterfly Stretch,general,custom,3097,155,1529,2024-07-12,2026-07-20
Dumbbell Reverse Lunge,strength,system,2383,155,1135,2024-02-05,2026-07-15
Barbell Close Grip Bench Press,strength,system,2405,153,1170,2024-05-29,2026-07-15
Front Anchored Banded Barbell Romanian Deadlift,strength,custom,2053,153,1013,2024-04-01,2026-07-20
Barbell Overhead Press,strength,system,1757,151,823,2023-09-11,2026-07-08
Dumbbell Goblet Squat Pulses,strength,custom,1122,150,516,2024-02-27,2026-07-20
Close Grip Strict Lat Pulldown,strength,system,2601,149,1227,2023-09-11,2026-07-20
Dumbbell Single Leg Deadlift,strength,system,2413,148,1181,2024-06-27,2026-07-20
DB Pullover (Long Range),strength,custom,4808,147,1997,2023-09-14,2026-07-21
Is Ys and Ts,endurance,system,2777,146,1368,2023-09-12,2026-07-17
Foam Roller Pec Stretch,general,custom,1949,145,970,2024-05-30,2026-07-21
Zercher Squat,strength,custom,661,145,388,2024-02-26,2026-05-15
Dumbbell Bulgarian Split Squat,strength,system,2026,144,970,2024-02-26,2026-07-17
ATG Split Squat (Floor),strength,custom,201,144,160,2025-06-13,2026-07-20
Fire Hydrant Hip Circle,endurance,system,2015,143,977,2025-04-03,2026-07-21
Dumbbell Bent Over Row,strength,system,2017,142,861,2023-09-13,2026-07-01
High Plank Shoulder Taps,strength,system,1693,142,856,2025-01-02,2026-07-16
Dumbbell Seated Tricep Kickbacks,strength,system,1407,142,688,2024-04-03,2026-07-16
Barbell Single Leg Hip Thrust,strength,system,1550,141,770,2025-04-03,2026-07-21
Seated Goodmorning,strength,custom,1209,139,609,2024-02-01,2026-07-17
Wall Calf Raise,strength,custom,2817,138,1298,2023-09-12,2026-07-18
Quadruped Wrist Extension,endurance,custom,1541,138,770,2023-11-09,2026-07-17
Anterior Tib Raise,strength,custom,2822,137,1298,2023-09-12,2026-07-18
Dumbbell Skullcrusher,strength,custom,1520,137,685,2024-02-28,2026-07-01
Seated Reverse Fly,strength,system,2353,136,600,2023-09-18,2026-07-10
Side Lying Thoracic Rotation,endurance,system,1697,134,852,2023-09-13,2026-07-21
Dumbbell Deadlift,strength,system,384,134,265,2023-11-03,2026-07-17
Cat to Cow,endurance,system,2076,132,985,2025-01-02,2026-07-21
Jefferson Curl,strength,custom,1911,132,977,2023-09-14,2026-07-21
Single Arm DB Front Rack Carry,strength,custom,1247,132,735,2023-09-13,2026-07-20
Suspension Low Row,endurance,system,1554,129,773,2025-05-26,2026-06-16
Dumbbell Walking Lunge,strength,system,1910,127,883,2023-09-15,2026-07-17
