Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,What is the primary physiological target that distinguishes Build & Balance from Sculpt & Strength?,Single Choice,Cardiovascular endurance,Bone density through plyometric and impact loading,Flexibility and range of motion,Core stability,B,
2,Build & Balance is designed for which members?,Single Choice,Women over 50 with bone health concerns,Competitive athletes only,"Every woman, at every life stage",Members who have outgrown Sculpt & Strength,C,
3,Does Build & Balance meet the strength KPH?,Single Choice,No: the plyometric work replaces the strength stimulus,Yes: the same KPH applies,Only if the member attends 3 or more sessions per week,It depends on how the trainer programs the session,B,
4,Which of the following is NOT a benefit of the plyometric component in Build & Balance?,Single Choice,Improved agility and movement coordination,Reduced fall risk through reflexive training,Replacement of progressive strength loading,Conversion of strength into athletic power output,C,
5,"A member has noticeably more strength on her right side than her left. Which class would you recommend alongside her current program, and why?",Single Choice,Metabolic Burn: to improve her conditioning,"Build & Balance: it includes more unilateral work, which can help address strength imbalances between sides",Evolved Pilates: it is better suited to corrective work,Hybrid Fitness Racing: the circuit format will expose the imbalance,B,
6,Does Build & Balance use the same EVOLVE floor cards as Sculpt & Strength?,Single Choice,No: it has its own separate card system,Yes: the same EVOLVE cards are shared across both classes,Only for the bilateral strength exercises,EVOLVE cards are not used in Build & Balance,B,
7,What is the prerequisite session count for delivering Build & Balance?,Single Choice,36 Sculpt & Strength sessions only,36 combined sessions across Sculpt & Strength and Build & Balance,"Completion of Course 6 only, no session count required",12 supervised Build & Balance classes,B,
8,"At a plyometric station, a member is rushing through her reps with poor landing mechanics. What is the correct response?",Single Choice,Encourage her to maintain the pace: intensity is the goal,Remove her from the station for safety,Prioritise quality of movement: brief the landing mechanics and correct before continuing,Substitute a bilateral strength exercise instead,C,
9,What is the correct sequence for the Build & Balance Performance Warm-Up?,Single Choice,"20% × 12 reps, 60% × 6 reps, 100% × 1 rep, then working sets","50% × 10 reps, 80% × 5 reps, then working sets","30% × 8 reps, 70% × 4 reps, 100% × 2 reps, then working sets","3 bodyweight warm-up sets, then move to working weight",A,
10,What is the purpose of the Performance Warm-Up?,Single Choice,To extend the session length and fill time before the main workout,"To neurologically prime the central nervous system so working sets feel controlled, not surprising",To assess the member's maximum strength before beginning working sets,To reduce the number of working sets needed to achieve adaptation,B,
11,How must you deliver a coaching cue to a member during class?,Single Choice,Call it out loudly so the whole group can benefit,"Ask for consent, highlight what they're already doing well, then give the cue constructively",Wait until after the set to avoid breaking their concentration,"Demonstrate the correct movement yourself first, then correct them",B,
