Question ID ( Mandatory ),Question ( Mandatory ),Question Type ( Mandatory ),Option A ( Optional ),Option B ( Optional ),Option C ( Optional ),Option D ( Optional ),Correct Answer ( Optional ),Explanation ( Optional )
1,How many workouts must a trainer complete in their own Trainerize account before delivering Sculpt & Strength?,Single Choice,12,24,36,48,C,
2,How many touch points must each member receive per working set?,Single Choice,At least 1 per working set,At least 3 per working set,At least 1 per session total,As many as time allows,A,
3,A member needs a regression for an exercise and you're not sure what to give. What do you do?,Single Choice,Skip the exercise and substitute something you know,Ask another member for their opinion,"Deliver what is prescribed, apologise, tell the member you'll ask management, then do so ASAP",Give your best guess and move on,C,
4,When can a trainer use their personal phone during class?,Single Choice,Any time: it helps with coaching,To film an Instagram story after class,Only in a life-threatening emergency,Never under any circumstances,B,
5,What is the class capacity for Sculpt & Strength?,Single Choice,10,12,15,20,C,
6,How early must a trainer arrive before a Sculpt & Strength session?,Single Choice,5 minutes,10 minutes,15 minutes,30 minutes,C,
7,What must you do with cool towels after class?,Single Choice,Leave them for the next trainer,Hang them to dry,"Wash in bacterial wash, roll, and place back in the fridge",Dispose of them if used,C,
8,"Can a trainer make major changes to the sets, reps, or movement patterns in the prescribed program?",Single Choice,"Yes, if they feel the program isn't right for the group that day","Yes, with management approval","No: the program is delivered as structured, with individual progressions/regressions only","Yes, for advanced members only",C,
9,"When a member needs a regression, what options can a trainer use?",Single Choice,Any regression the trainer feels is appropriate for the individual,Only EVOLVE-defined regression options from the exercise spectrum card,Whatever equipment is already set up at the station,The regression used in the member's last Intro Session,B,
10,"During Testing Week, a member tells you she has been coming to the gym for 3 weeks. What do you do?",Single Choice,Test her anyway: she needs a baseline,Revert to the previous week's program and treat it as a normal workout,Let her test at a lighter load as a modified introduction,Skip Testing Week for the whole group,B,
11,How many attempts does each member get per exercise during Testing Week?,Single Choice,1 attempt only,"2 attempts: first at their estimated 1RM, second adjusted based on the result","3 attempts: warm-up, test, and final attempt",As many attempts as time allows,B,
12,What is the Long standard for the Deadlift?,Single Choice,75% of bodyweight,100% of bodyweight,125% of bodyweight,150% of bodyweight,C,
